
FAMILIA PRODUCTOS;DESCRIPCIÓN;UNIDAD DE MEDIDA;VALOR PESOS;PRECIO COSTO NETO ;VALOR DÓLAR $;PORCENTAJE;PRECIO VENTA NETO 
\PROVISIONES\CARNES;BAY RIBS PORK-COSTILLITAS;KGS;$ 12.185;14,17;$ 860;0,00;0,00
\PROVISIONES\CARNES;BACON SLICED SMOKED - TOCINO LAMINADO;KG;$ 8.273;9,62;$ 860;0,00;0,00
\PROVISIONES\CARNES;BEEF BONELESS - CARNICERO;KILO;$ 5.764;6,70;$ 860;0,00;0,00
\PROVISIONES\CARNES;BEEF BONES FOR SOUP - HUESOS PARA SOPA;KILO;$ 2.650;3,08;$ 860;0,00;0,00
\PROVISIONES\CARNES;BEEF BRISKET - TAPAPECHO;KILO;$ 6.079;7,07;$ 860;0,00;0,00
\PROVISIONES\CARNES;BEEF CHUCK - ASADO AMERICANO;KGS;$ 12.000;13,95;$ 860;0,00;0,00
\PROVISIONES\CARNES;BEEF CUBE ROLL - LOMO VETADO;KILO;$ 10.605;12,33;$ 860;0,00;0,00
\PROVISIONES\CARNES;BEEF DICE FOR STEW - CARNE POSTA CUBOS;KILO;$ 7.900;9,19;$ 860;0,00;0,00
\PROVISIONES\CARNES;BEEF FEET  - PATAS DE VACUNO ;KG;$ 2.950;3,43;$ 860;0,00;0,00
\PROVISIONES\CARNES;BEEF GROUND - MOLIDA VACUNO;KILO;$ 4.460;5,19;$ 860;0,00;0,00
\PROVISIONES\CARNES;BEEF LIVER - HIGADO VACUNO;KILO;$ 2.990;3,48;$ 860;0,00;0,00
\PROVISIONES\CARNES;BEEF RIBS - ASADO DE TIRA;KILO;$ 7.998;9,30;$ 860;0,00;0,00
\PROVISIONES\CARNES;BEEF RUMP - ASIENTO;KILO;$ 8.389;9,75;$ 860;0,00;0,00
\PROVISIONES\CARNES;BEEF SHANK - OSOBUCO;KILO;$ 8.950;10,41;$ 860;0,00;0,00
\PROVISIONES\CARNES;BEEF SILVERSIDE - POLLO GANSO;KILO;$ 6.709;7,80;$ 860;0,00;0,00
\PROVISIONES\CARNES;BEEF SIRLOIN - PUNTA PICANA;KGS;$ 0;0,00;$ 860;0,00;0,00
\PROVISIONES\CARNES;BEEF STRIPLOIN - LOMO LISO;KGS;$ 8.573;9,97;$ 860;0,00;0,00
\PROVISIONES\CARNES;BEEF T BONE STEAK - ENTRECOTT;KILO;$ 11.900;13,84;$ 860;0,00;0,00
\PROVISIONES\CARNES;BEEF TAILS - COLAS;KILO;$ 5.090;5,92;$ 860;0,00;0,00
\PROVISIONES\CARNES;BEEF TENDERLOIN - FILETE VACUNO;KILO;$ 11.025;12,82;$ 860;0,00;0,00
\PROVISIONES\CARNES;BEEF THICKFLAK - POSTA ROSADA ;KILO;$ 7.339;8,53;$ 860;0,00;0,00
\PROVISIONES\CARNES;BEEF TONGUE - LENGUA DE VACUNO;KILO;$ 6.850;7,97;$ 860;0,00;0,00
\PROVISIONES\CARNES;BEEF TOP SIDE - POSTA NEGRA;KILO;$ 6.919;8,05;$ 860;0,00;0,00
\PROVISIONES\CARNES;BEEF TRIPE - GUATACALLO;KILO;$ 4.500;5,23;$ 860;0,00;0,00
\PROVISIONES\CARNES;BEFF BURGER PATTIES - HAMBURGUESA DE CARNE;KILO;$ 9.160;10,65;$ 860;0,00;0,00
\PROVISIONES\CARNES;BOLIED HAM SLICED - JAMON SANDWICH LAMINADO;KILO;$ 5.990;6,97;$ 860;0,00;0,00
\PROVISIONES\CARNES;BOILED HAM - JAMON SANDWICH (pieza);KILO;$ 3.900;4,53;$ 860;0,00;0,00
\PROVISIONES\CARNES;BOLOGNA;KILO;$ 0;0,00;$ 860;0,00;0,00
\PROVISIONES\CARNES;BURGER BEANS - HAMBURGUESA VEGETAL 100 GRS;UNIDAD;$ 1.000;1,16;$ 860;0,00;0,00
\PROVISIONES\CARNES;CHICKEN BREAST B/LESS - PECHUGA DESHUESADA DE POLLO 15-20 KGS/CASE;KILO;$ 3.490;4,06;$ 860;0,00;0,00
\PROVISIONES\CARNES;CHICKEN BREAST BONE IN - PECHUGA ENTERA DE POLLO;KILO;$ 2.915;3,39;$ 860;0,00;0,00
\PROVISIONES\CARNES;CHICKEN BURGER - HAMBURGUESA DE POLLO;KGS;$ 8.236;9,58;$ 860;0,00;0,00
\PROVISIONES\CARNES;CHICKEN DRUMSTICK - TRUTO ENTERO DE POLLO 15 KG/CS;KILO;$ 1.410;;;;
\PROVISIONES\CARNES;CHICKEN DRUMSTICK B/IN - TRUTRO LARGO DE POLLO 15-20 KGS/CS;KILO;$ 1.850;2,15;$ 860;0,00;0,00
\PROVISIONES\CARNES;CHICKEN FEET - PATAS DE POLLO;KILO;$ 3.400;3,95;$ 860;0,00;0,00
\PROVISIONES\CARNES;CHICKEN FURTER/SAUSAGE - VIENESA POLLO;KILO;$ 2.194;2,55;$ 860;0,00;0,00
\PROVISIONES\CARNES;CHICKEN GIZZARD - CONTRE DE POLLO;KILO;$ 2.050;2,38;$ 860;0,00;0,00
\PROVISIONES\CARNES;CHICKEN LEG QUARTER - TRUTRO DE POLLO 15-20 KGS/CS;KILO;$ 1.690;1,97;$ 860;0,00;0,00
\PROVISIONES\CARNES;CHICKEN LIVER - HIGADO POLLO;KILO;$ 710;0,83;$ 860;0,00;0,00
\PROVISIONES\CARNES;CHICKEN MINCED - MOLIDA DE POLLO;KILO;$ 6.281;;;;
\PROVISIONES\CARNES;CHICKEN NUGGETS - NUGGETS DE POLLO;KILO;$ 2.450;2,85;$ 860;0,00;0,00
\PROVISIONES\CARNES;CHICKEN THIGH / TRUTRO CORTO DE POLLO (BONE IN);KILO;$ 3.193;3,71;$ 860;0,00;0,00
\PROVISIONES\CARNES;CHICKEN WHOLE - POLLO ENTERO;KILO;$ 2.490;2,90;$ 860;0,00;0,00
\PROVISIONES\CARNES;CHICKEN WHOLE HALAL - POLLO ENTERO HALAL;KILO;$ 2.490;;;;
\PROVISIONES\CARNES;CHICKEN WINGS - ALAS POLLO;KILO;$ 2.475;2,88;$ 860;0,00;0,00
\PROVISIONES\CARNES;CHORIZO SMOKED - CHORIZO AHUMADO;KG;$ 9.160;10,65;$ 860;0,00;0,00
\PROVISIONES\CARNES;COCKTAIL SAUSAGE - VIENESAS DE COCTEL;KILO;$ 10.916;12,69;$ 860;0,00;0,00
\PROVISIONES\CARNES;DUCK - PATO WHOLE;KILO;$ 8.990;10,45;$ 860;0,00;0,00
\PROVISIONES\CARNES;FRANKFURTER TURKEY - VIENESA DE PAVO ;KILO;$ 4.025;4,68;$ 860;0,00;0,00
\PROVISIONES\CARNES;FZ LAMB LOIN - LOMO CORDERO FZ;KGS;$ 25.900;30,12;$ 860;0,00;0,00
\PROVISIONES\CARNES;GROUND PORK - MOLIDA CERDO;KILO;$ 4.490;5,22;$ 860;0,00;0,00
\PROVISIONES\CARNES;HAM SMOKED PRAGA - JAMON PRAGA AHUMADO;KILO;$ 5.016;;;;
\PROVISIONES\CARNES;HAM SMOKED - JAMON AHUMADO;KILO;$ 5.850;6,80;$ 860;0,00;0,00
\PROVISIONES\CARNES;HAM TURKEY - JAMON DE PAVO ACARAMELADO;KILO;$ 0;0,00;$ 860;0,00;0,00
\PROVISIONES\CARNES;LAMB CHOP - CHULETAS DE CORDERO;KG;$ 15.800;18,37;$ 860;0,00;0,00
\PROVISIONES\CARNES;LAMB LEG BONE OUT - PIERNA DE CORDERO S/HUESO;KGS;$ 16.800;19,53;$ 860;0,00;0,00
\PROVISIONES\CARNES;LAMB LEG BONE in - PIERNA DE CORDERO C/HUESO;KGS;$ 12.800;14,88;$ 860;0,00;0,00
\PROVISIONES\CARNES;LAMB MINCED - MOLIDA DE CORDERO;KILO;$ 16.800;19,53;$ 860;0,00;0,00
\PROVISIONES\CARNES;LAMB WHOLE / CARCASS - CORNERO ENTERO;KILO;$ 7.654;;;;
\PROVISIONES\CARNES;LEG HAM B/LESS-JAMON PIERNA SIN HUESO;KGS;$ 6.900;8,02;$ 860;0,00;0,00
\PROVISIONES\CARNES;MORTADELA;KILO;$ 3.650;4,24;$ 860;0,00;0,00
\PROVISIONES\CARNES;PEPPERONI SLICED -PEPPERONI LAMINADO;KGS;$ 12.000;13,95;$ 860;0,00;0,00
\PROVISIONES\CARNES;PORK NECK/CUBE ROLL - LOMO VETADO DE CERDO;KILO;$ 5.600;6,51;$ 860;0,00;0,00
\PROVISIONES\CARNES;PORCK LOIN (bone out) - LOMO DE CERDO;KILO;$ 3.963;4,61;$ 860;0,00;0,00
\PROVISIONES\CARNES;PORK BELLY - PANCETA;KILO;$ 5.670;6,59;$ 860;0,00;0,00
\PROVISIONES\CARNES;PORK CHOP CENTER SLICED - CHULETA CENTRO;KILO;$ 4.350;5,06;$ 860;0,00;0,00
\PROVISIONES\CARNES;PORK FEET FROZEN - PATA DE CERDO;KGS;$ 2.450;2,85;$ 860;0,00;0,00
\PROVISIONES\CARNES;PORK FILLET / TENDERLOIN - FILETE DE CERDO;KILO;$ 4.110;4,78;$ 860;0,00;0,00
\PROVISIONES\CARNES;PORK HEAD - CABEZA DE CERDO;KILO;$ 2.247;2,61;$ 860;0,00;0,00
\PROVISIONES\CARNES;PORK KNUCKLES-PERNIL CERDO;KILO;$ 2.430;2,83;$ 860;0,00;0,00
\PROVISIONES\CARNES;PORK LEGS - PIERNA ENTERA BONE IN;KGS;$ 4.599;5,35;$ 860;0,00;0,00
\PROVISIONES\CARNES;PORK LOIN BONE IN - CHULETA ENTERA DE CERDO;KGS;$ 2.992;3,48;$ 860;0,00;0,00
\PROVISIONES\CARNES;PORK LOIN SLICED - CHULETA PORCIONADA;KGS;$ 4.350;;;;
\PROVISIONES\CARNES;PORK LIVER - HIGADO DE CERDO;KILO;$ 1.580;1,84;$ 860;0,00;0,00
\PROVISIONES\CARNES;PORK LUNCHEON MEAT- CHANCHO, CERDO CHINO 395GRS;TIN;$ 2.950;;;;
\PROVISIONES\CARNES;PORK RIB - COSTILLAR DE CERDO;KILO;$ 3.559;4,14;$ 860;0,00;0,00
\PROVISIONES\CARNES;PORK RUMP - ASIENTO CERDO;KGS;$ 6.714;7,81;$ 860;0,00;0,00
\PROVISIONES\CARNES;PORK SAUSAGE - SALCHICHA DE CERDO;KGS;$ 2.390;;;;
\PROVISIONES\CARNES;PORK SAUSAGE - LONGANIZA;KILO;$ 3.448;4,01;$ 860;0,00;0,00
\PROVISIONES\CARNES;PORK SHOULDERS - PULPA PIERNA DE CERDO S/HUESO;KILO;$ 3.381;3,93;$ 860;0,00;0,00
