;;;;;$910;1,5;
;;;;;;;
FAMILIA PRODUCTOS;DESCRIPCIÓN;UNIDAD DE MEDIDA;VALOR PESOS $;PRECIO COSTO NETO  ;TIPO CAMBIO $;PORCENTAJE;PRECIO VENTA NETO 
\PROVISIONES\ABARROTES;AJINOMOTO;KG;$3.990;4,38;$910;1,5;6,58
\PROVISIONES\ABARROTES;ALL SPICE POWDER 1 KG -ALIÑO COMPLETO 1 KILO ;KG;$12.500;13,74;$910;1,5;20,6
\PROVISIONES\ABARROTES;ALL SPICE POWDER 500 GRS -ALIÑO COMPLETO 500 GR ;PKT;$6.250;6,87;$910;1,5;10,3
\PROVISIONES\ABARROTES;ALLSPICE POWDER 100GR - ALIÑO COMPLETO 100GR;PKT;$1.250;1,37;$910;1,5;2,06
\PROVISIONES\ABARROTES;ALMOND 100 GR - ALMENDRAS 100 GRS;PKT;$1.176;1,29;$910;1,5;1,94
\PROVISIONES\ABARROTES;ALMOND FLAKES - ALMENDRAS LAMINADAS;KG;$12.571;13,81;$910;1,5;20,72
\PROVISIONES\ABARROTES;ALMOND FLOUR - HARINA DE ALMENDRAS;KG;$10.924;12;$910;1,5;18,01
\PROVISIONES\ABARROTES;ALMOND NON SALTED 100 GRS - ALMENDRAS NATURALES ;PKT;$1.295;1,42;$910;1,5;2,13
\PROVISIONES\ABARROTES;ALMOND PEELED - ALMENDRAS PELADAS;KG;$13.360;14,68;$910;1,5;22,02
\PROVISIONES\ABARROTES;ALPINE MILK RITTER - CHOCOLATE RITTER ;BAR;$3.714;4,08;$910;1,5;6,12
\PROVISIONES\ABARROTES;AMAPOLA SEEDS - SEMILLAS DE AMAPOLA;KG;$9.244;10,16;$910;1,5;15,24
\PROVISIONES\ABARROTES;APPLE CIDER 471 ML - VINAGRE DE MANZANA CIDER ;BTL;$5.873;6,45;$910;1,5;9,68
\PROVISIONES\ABARROTES;APPLE CIDER 946 ML - VINAGRE DE MANZANA CIDER ;BTL;$10.084;11,08;$910;1,5;16,62
\PROVISIONES\ABARROTES;APPLE PUREE - PURE DE MANZANA  560 ML;TIN ;$1.723;1,89;$910;1,5;2,84
\PROVISIONES\ABARROTES;APRICOT DRIED  - DAMASCO SECO ;KG;$11.765;12,93;$910;1,5;19,39
\PROVISIONES\ABARROTES;APRICOT DRIED 200 G - DAMASCO SECOS;PKT;$2.353;2,59;$910;1,5;3,88
\PROVISIONES\ABARROTES;APRICOT JAM - MERMELADA DE  DAMASCO 486GRS;BTL;$3.450;3,79;$910;1,5;5,69
\PROVISIONES\ABARROTES;ASSORTED JELLIES - GELATINAS SURTIDAS 100 GRS;GRS;$760;0,84;$910;1,5;1,25
\PROVISIONES\ABARROTES;ASSORTED JAM - MERMELADAS SURTIDAS;PKT;$3.200;3,52;$910;1,5;5,27
\PROVISIONES\ABARROTES;ASSORTED READY CAKE - TORTA LISTA SURT 450GRS;PKT;$2.625;2,88;$910;1,5;4,33
\PROVISIONES\ABARROTES;ASPARAGUS SOUP CREAM - CREMA DE ESPARRAGOS;KG;$2.490;2,74;$910;1,5;4,1
\PROVISIONES\ABARROTES;ASPARRAGUS 420GR - ESPARRAGOS 420GR;TIN;$2.714;2,98;$910;1,5;4,47
\PROVISIONES\ABARROTES;ASSORTED JUICE POWDER  - JUGOS NARANJA/PIÑA ;KG;$2.980;3,27;$910;1,5;4,91
\PROVISIONES\ABARROTES;ASSORTED MUFFINS - MUFFINS SURTIDOS ;PCS;$1.200;1,32;$910;1,5;1,98
\PROVISIONES\ABARROTES;ASST BISCUIT 400GR - GALLETAS SURTIDAS;PKT;$1.690;1,86;$910;1,5;2,79
