;;;;;$ 910;1,50;
;;;;;;;
FAMILIA PRODUCTOS;DESCRIPCIÓN;UNIDAD DE MEDIDA;COSTO NETO PESOS;PRECIO COSTO DÓLAR;VALOR DÓLAR $;PORCENTAJE;PRECIO VENTA NETO 
\PROVISIONES\FRUTAS Y VERDURAS;APPLE GREEN - MANZANA VERDE;KG;$ 2.185;2,40;$ 910;1,50;3,60
\PROVISIONES\FRUTAS Y VERDURAS;APPLE RED - MANZANA ROJA;KG;$ 2.000;2,20;$ 910;1,50;3,30
\PROVISIONES\FRUTAS Y VERDURAS;ASPARAGUS - ESPARRAGO;KG;$ 7.145;7,85;$ 910;1,50;11,78
\PROVISIONES\FRUTAS Y VERDURAS;AVOCADO - PALTAS;KG;$ 4.000;4,40;$ 910;1,50;6,59
\PROVISIONES\FRUTAS Y VERDURAS;BANANA - PLATANO;KG;$ 1.500;1,65;$ 910;1,50;2,47
\PROVISIONES\FRUTAS Y VERDURAS;BANANA FOR COOKING - PLATANO PARA COCINA;KG;$ 1.680;1,85;$ 910;1,50;2,77
\PROVISIONES\FRUTAS Y VERDURAS;BASIL - ALBAHACA;KG;$ 4.000;4,40;$ 910;1,50;6,59
\PROVISIONES\FRUTAS Y VERDURAS;BEANS STRING GREEN - POROTO VERDE;KG;$ 2.500;2,75;$ 910;1,50;4,12
\PROVISIONES\FRUTAS Y VERDURAS;BEETROOTS - BETARRAGA;KG;$ 1.000;1,10;$ 910;1,50;1,65
\PROVISIONES\FRUTAS Y VERDURAS;BERROS FRESH - BERROS;KG;$ 8.000;8,79;$ 910;1,50;13,19
\PROVISIONES\FRUTAS Y VERDURAS;BOK CHOY;KG;$ 3.553;3,90;$ 910;1,50;5,86
\PROVISIONES\FRUTAS Y VERDURAS;BROCCOLI - BROCOLI;KG;$ 1.800;1,98;$ 910;1,50;2,97
\PROVISIONES\FRUTAS Y VERDURAS;CABBAGE - REPOLLO;KG;$ 600;0,66;$ 910;1,50;0,99
\PROVISIONES\FRUTAS Y VERDURAS;CABBAGE RED - REPOLLO MOR;KG;$ 1.000;1,10;$ 910;1,50;1,65
\PROVISIONES\FRUTAS Y VERDURAS;CARROTS - ZANAHORIA;KG;$ 700;0,77;$ 910;1,50;1,15
\PROVISIONES\FRUTAS Y VERDURAS;CARROTS CUBE - ZANAHORIA EN CUBOS;KG;$ 700;0,77;$ 910;1,50;1,15
\PROVISIONES\FRUTAS Y VERDURAS;CAULIFLOWER - COLIFLOR;KG;$ 1.000;1,10;$ 910;1,50;1,65
\PROVISIONES\FRUTAS Y VERDURAS;CELERY - APIO;KG;$ 800;0,88;$ 910;1,50;1,32
\PROVISIONES\FRUTAS Y VERDURAS;CHICORY - ACHICOREA;KG;$ 900;0,99;$ 910;1,50;1,48
\PROVISIONES\FRUTAS Y VERDURAS;CHILLI GREEN - AJI VERDE;KG;$ 4.000;4,40;$ 910;1,50;6,59
\PROVISIONES\FRUTAS Y VERDURAS;CHILLI RED- AJI ROJO;KG;$ 8.000;8,79;$ 910;1,50;13,19
\PROVISIONES\FRUTAS Y VERDURAS;CHILLIES HOT - AJI ROJO;KG;$ 7.000;7,69;$ 910;1,50;11,54
\PROVISIONES\FRUTAS Y VERDURAS;CHINESE CABBAGE - REPOLLO CHINO;KG;$ 5.400;5,93;$ 910;1,50;8,90
\PROVISIONES\FRUTAS Y VERDURAS;CHIVES - CIBOULETTE 20 GRS;KG;$ 800;0,88;$ 910;1,50;1,32
\PROVISIONES\FRUTAS Y VERDURAS;CHOCLO FRESCO;KG;$ 1.200;1,32;$ 910;1,50;1,98
\PROVISIONES\FRUTAS Y VERDURAS;CORIANDER - CILANTRO;KG;$ 3.000;3,30;$ 910;1,50;4,95
\PROVISIONES\FRUTAS Y VERDURAS;CUCUMBERS - PEPINO;KG;$ 1.100;1,21;$ 910;1,50;1,81
\PROVISIONES\FRUTAS Y VERDURAS;EGGPLANTS - BERENJENA;KG;$ 1.600;1,76;$ 910;1,50;2,64
\PROVISIONES\FRUTAS Y VERDURAS;ENDIVES - ENDIVIA;KG;$ 7.143;7,85;$ 910;1,50;11,77
\PROVISIONES\FRUTAS Y VERDURAS;GARLIC - AJO;KG;$ 3.300;3,63;$ 910;1,50;5,44
\PROVISIONES\FRUTAS Y VERDURAS;GINGER - JENGIBRE;KG;$ 3.000;3,30;$ 910;1,50;4,95
\PROVISIONES\FRUTAS Y VERDURAS;GRAPEFRUIT - POMELO;KG;$ 2.512;2,76;$ 910;1,50;4,14
\PROVISIONES\FRUTAS Y VERDURAS;GRAPES GREEN - UVA VERDE;KG;$ 3.000;3,30;$ 910;1,50;4,95
\PROVISIONES\FRUTAS Y VERDURAS;HONEY MELON - MELON TUNA;KG;$ 1.500;1,65;$ 910;1,50;2,47
\PROVISIONES\FRUTAS Y VERDURAS;KIWI;KG;$ 3.400;3,74;$ 910;1,50;5,60
